timestamp,ref,pkg,name,ns_op,bytes_op,allocs_op
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar-10,1030643084,2152792576,479
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar-10,1186989021,2152792576,479
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar-10,1249519584,2152792576,479
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar-10,1510292000,2152792576,479
20260829T175120Z,nogit,./internal/utils,BenchmarkDiffLines_ExtraLargeDissimilar-10,1217560312,2152792576,479
20260829T175120Z,nogit,./internal/utils,BenchmarkNewUUID-10,414.0,48,1
20260829T175120Z,nogit,./internal/utils,BenchmarkNewUUID-10,413.0,48,1
20260829T175120Z,nogit,./internal/utils,BenchmarkNewUUID-10,413.5,48,1
20260829T175120Z,nogit,./internal/utils,BenchmarkNewUUID-10,412.2,48,1
20260829T175120Z,nogit,./internal/utils,BenchmarkNewUUID-10,413.0,48,1
20260829T175120Z,nogit,./internal/utils,BenchmarkNewUUID-10,413.6,48,1
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS-10,795832,1040393,2
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS-10,807151,1040389,2
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS-10,799685,1040386,2
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS-10,799933,1040385,2
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS-10,813288,1040386,2
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS-10,802673,1040385,2
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLines-10,7523,54016,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLines-10,7535,54016,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLines-10,7570,54016,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLines-10,7589,54016,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLines-10,7575,54016,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLines-10,7565,54016,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers-10,12673,100096,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers-10,12666,100096,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers-10,12614,100096,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers-10,12584,100096,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers-10,12647,100096,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers-10,12631,100096,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_LargeSimilar-10,114782,984832,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_LargeSimilar-10,114809,984832,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_LargeSimilar-10,123275,984833,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_LargeSimilar-10,110611,984832,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_LargeSimilar-10,126380,984833,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesMyers_LargeSimilar-10,140994,984834,6
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS_LargeSimilar-10,81611866,100368384,2
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS_LargeSimilar-10,80079521,100368384,2
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS_LargeSimilar-10,80193317,100368384,2
20260829T175319Z,nogit,./internal/utils,BenchmarkDiffLinesLCS_LargeSimilar-10,79521092,100368384,2
